popular_ranking,artist_name,release_date,genre
1,radiohead,1997,rock
2,radiohead,2000,rock
3,pink floyd,1973,rock
4,my bloody valentine,1991,rock
5,kanye west,2010,pop
6,radiohead,2007,rock
7,pink floyd,1975,rock
8,neutral milk hotel,1998,rock
9,radiohead,1995,rock
10,kendrick lamar,2015,jazz
11,the velvet underground & nico,1967,rock
12,king crimson,1969,rock
13,the beatles,1969,rock
14,the beatles,1967,rock
15,nirvana,1991,rock
16,the beatles,1966,rock
17,kendrick lamar,2012,hip-hop
18,david bowie,1972,rock
19,joy division,1979,rock
20,kanye west,2013,hip-hop
21,radiohead,2001,rock
22,death grips,2012,hip-hop
23,madvillain,2004,hip-hop
24,arcade fire,2004,rock
25,pink floyd,1979,rock
26,talking heads,1980,rock
27,pink floyd,1977,rock
28,kanye west,2004,pop
29,the beach boys,1966,pop
30,black sabbath,1970,rock
31,the beatles,1968,rock
32,the smiths,1986,pop
33,godspeed you black emperor!,2000,rock
34,led zeppelin,1971,rock
35,"tyler, the creator",2019,soul_funk
36,pixies,1989,rock
37,radiohead,2003,rock
38,kanye west,2016,pop
39,the beatles,1965,rock
40,slint,1991,rock
41,nirvana,1993,rock
42,kanye west,2005,pop
43,the strokes,2001,rock
44,kanye west,2007,pop
45,nas,1994,hip-hop
46,frank ocean,2016,pop
47,kendrick lamar,2017,hip-hop
48,"tyler, the creator",2017,hip-hop
49,the doors,1967,rock
50,metallica,1986,metal
51,kids see ghosts,2018,rock
53,miles davis,1959,jazz
54,nick drake,1972,folk
55,radiohead,2016,rock
56,the cure,1989,rock
57,kanye west,2008,electronic
58,weezer,1994,rock
59,slowdive,1993,rock
60,david bowie,1977,rock
61,kanye west,2018,pop
62,joy division,1980,rock
63,aphex twin,1992,electronic
64,the clash,1979,rock
65,pink floyd,1967,rock
66,björk,1997,pop
67,led zeppelin,1969,rock
68,sonic youth,1988,rock
69,wu-tang clan,1993,hip-hop
70,pink floyd,1971,rock
71,david bowie,1971,rock
72,metallica,1984,metal
73,animal collective,2009,rock
74,the beatles,1967,rock
75,radiohead,1993,rock
76,sufjan stevens,2005,pop
77,dj shadow,1996,hip-hop
78,godspeed you black emperor!,1997,rock
79,daft punk,2001,electronic
80,interpol,2002,rock
81,sigur rós,1999,rock
82,gorillaz,2005,pop
