popular_ranking,artist_name,decade,genre
1,radiohead,90's,rock
2,radiohead,00's,rock
3,pink floyd,70's,rock
4,my bloody valentine,90's,rock
5,kanye west,10's,pop
6,radiohead,00's,rock
7,pink floyd,70's,rock
8,neutral milk hotel,90's,rock
9,radiohead,90's,rock
10,kendrick lamar,10's,jazz
11,the velvet underground & nico,60's,rock
12,king crimson,60's,rock
13,the beatles,60's,rock
14,the beatles,60's,rock
15,nirvana,90's,rock
16,the beatles,60's,rock
17,kendrick lamar,10's,hip-hop
18,david bowie,70's,rock
19,joy division,70's,rock
20,kanye west,10's,hip-hop
21,radiohead,00's,rock
22,death grips,10's,hip-hop
23,madvillain,00's,hip-hop
24,arcade fire,00's,rock
25,pink floyd,70's,rock
26,talking heads,80's,rock
27,pink floyd,70's,rock
28,kanye west,00's,pop
29,the beach boys,60's,pop
30,black sabbath,70's,rock
31,the beatles,60's,rock
32,the smiths,80's,pop
33,godspeed you black emperor!,00's,rock
34,led zeppelin,70's,rock
35,"tyler, the creator",10's,soul_funk
36,pixies,80's,rock
37,radiohead,00's,rock
38,kanye west,10's,pop
39,the beatles,60's,rock
40,slint,90's,rock
41,nirvana,90's,rock
42,kanye west,00's,pop
43,the strokes,00's,rock
44,kanye west,00's,pop
45,nas,90's,hip-hop
46,frank ocean,10's,pop
47,kendrick lamar,10's,hip-hop
48,"tyler, the creator",10's,hip-hop
49,the doors,60's,rock
50,metallica,80's,metal
51,kids see ghosts,10's,rock
53,miles davis,50's,jazz
54,nick drake,70's,folk
55,radiohead,10's,rock
56,the cure,80's,rock
57,kanye west,00's,electronic
58,weezer,90's,rock
59,slowdive,90's,rock
60,david bowie,70's,rock
61,kanye west,10's,pop
62,joy division,80's,rock
63,aphex twin,90's,electronic
64,the clash,70's,rock
65,pink floyd,60's,rock
66,björk,90's,pop
67,led zeppelin,60's,rock
68,sonic youth,80's,rock
69,wu-tang clan,90's,hip-hop
70,pink floyd,70's,rock
71,david bowie,70's,rock
72,metallica,80's,metal
73,animal collective,00's,rock
74,the beatles,60's,rock
75,radiohead,90's,rock
76,sufjan stevens,00's,pop
77,dj shadow,90's,hip-hop
78,godspeed you black emperor!,90's,rock
79,daft punk,00's,electronic
80,interpol,00's,rock
81,sigur rós,90's,rock
82,gorillaz,00's,pop
83,danny brown,10's,hip-hop
84,bob dylan,60's,rock
85,led zeppelin,60's,rock
86,david bowie,10's,rock
87,television,70's,rock
88,john coltrane,60's,jazz
89,frank ocean,10's,soul_funk
90,black sabbath,70's,rock
91,the microphones,00's,rock
92,a tribe called quest,90's,jazz
93,black sabbath,70's,metal
94,the velvet underground,60's,rock
95,radiohead,10's,rock
97,weezer,90's,rock
98,pixies,80's,rock
99,björk,90's,pop
100,björk,00's,pop
101,king crimson,70's,rock
102,have a nice life,00's,rock
103,kate bush,80's,pop
104,cocteau twins,90's,pop
105,the jimi hendrix experience,60's,rock
106,nine inch nails,90's,rock
107,led zeppelin,70's,rock
108,elliott smith,90's,folk
109,queens of the stone age,00's,rock
110,kanye west,10's,hip-hop
111,smashing pumpkins,90's,rock
112,boards of canada,90's,electronic
113,david bowie,70's,rock
114,björk,90's,pop
115,sufjan stevens,10's,folk
116,rage against the machine,90's,metal
117,fishmans,90's,rock
118,the velvet underground,60's,rock
119,metallica,80's,metal
120,bob dylan,60's,rock
121,metallica,90's,metal
