artist_name,main_grammy_awards,main_grammy_nominations
the beatles,2,10
bob dylan,1,4
elvis presley,0,2
the rolling stones,0,1
chuck berry,0,0
jimi hendrix,0,0
james brown,0,0
little richard,0,0
aretha franklin,0,0
ray charles,2,6
bob marley,0,0
beach boys,0,0
buddy holly,0,0
led zeppelin,0,0
stevie wonder,3,8
sam cooke,0,0
muddy waters,0,0
marvin gaye,0,0
velvet underground,0,0
bo diddley,0,0
otis redding,0,0
u2,6,11
bruce springsteen,1,8
jerry lee lewis,0,0
fats domino,0,0
the ramones,0,0
prince,0,3
the clash,0,0
the who,0,0
nirvana,0,0
johnny cash,0,2
smokey robinson & the miracles,0,0
everly brothers,0,0
neil young,0,3
michael jackson,3,8
madonna,0,3
roy orbison,0,1
john lennon,1,2
david bowie,0,1
simon & garfunkel,3,4
the doors,0,0
van morrison,0,0
sly & the family stone,0,0
public enemy,0,0
the byrds,0,0
janis joplin,0,0
patti smith,0,0
run,0,0
elton john,0,7
the band,0,0
pink floyd,0,1
queen,0,0
the allman brothers band,0,0
howlin' wolf,0,0
eric clapton,5,6
dr. dre,0,4
grateful dead,0,0
parliament / funkadelic,0,0
aerosmith,0,0
sex pistols,0,0
metallica,0,0
joni mitchell,1,3
tina turner,2,3
phil spector,1,3
the kinks,0,0
al green,0,0
cream,0,0
the temptations,0,0
jackie wilson,0,0
the police,0,2
frank zappa,0,0
ac/dc,0,0
radiohead,0,3
hank williams,0,0
the eagles,1,4
the shirelles,0,0
beastie boys,0,0
the stooges,0,0
the four tops,0,0
elvis costello,0,0
the drifters,0,0
creedence clearwater revival,0,0
eminem,0,9
james taylor,0,5
black sabbath,0,0
2pac,0,0
gram parsons,0,0
jay-z,0,10
the yardbirds,0,0
carlos santana,2,2
tom petty,0,2
guns n' roses,0,0
booker t & the mg's,0,0
nine inch nails,0,0
lynyrd skynrd,0,0
diana ross and the supremes,0,0
r.e.m.,0,3
curtis mayfield,0,0
carl perkins,0,0
talking heads,0,0
