artist_name,total_awards_nominations
the beatles,29
bob dylan,38
elvis presley,4
the rolling stones,14
chuck berry,0
jimi hendrix,1
james brown,8
little richard,0
aretha franklin,44
ray charles,37
bob marley,0
beach boys,4
buddy holly,0
led zeppelin,3
stevie wonder,74
sam cooke,6
muddy waters,11
marvin gaye,12
velvet underground,0
bo diddley,2
otis redding,5
u2,46
bruce springsteen,50
jerry lee lewis,3
fats domino,0
the ramones,0
prince,38
the clash,1
the who,2
nirvana,6
johnny cash,35
smokey robinson & the miracles,1
everly brothers,4
neil young,27
michael jackson,38
madonna,28
roy orbison,9
john lennon,4
david bowie,19
simon & garfunkel,11
the doors,0
van morrison,7
sly & the family stone,0
public enemy,6
the byrds,0
janis joplin,2
patti smith,4
run,1
elton john,34
the band,0
pink floyd,4
queen,4
the allman brothers band,8
howlin' wolf,3
eric clapton,37
dr. dre,26
grateful dead,0
parliament / funkadelic,0
aerosmith,14
sex pistols,0
metallica,18
joni mitchell,16
tina turner,25
phil spector,3
the kinks,0
al green,21
cream,1
the temptations,9
jackie wilson,2
the police,8
frank zappa,9
ac/dc,7
radiohead,18
hank williams,0
the eagles,18
the shirelles,0
beastie boys,10
the stooges,0
the four tops,1
elvis costello,14
the drifters,1
creedence clearwater revival,0
eminem,44
james taylor,18
black sabbath,4
2pac,6
gram parsons,1
jay-z,77
the yardbirds,0
carlos santana,14
tom petty,18
guns n' roses,3
booker t & the mg's,4
nine inch nails,10
lynyrd skynrd,0
diana ross and the supremes,2
r.e.m.,13
curtis mayfield,8
carl perkins,2
talking heads,2
