artist_name,total_awards_nominations,uk number 1's
the beatles,29,17
bob dylan,38,1
elvis presley,4,21
the rolling stones,14,8
chuck berry,0,1
jimi hendrix,1,0
james brown,8,0
aretha franklin,44,1
ray charles,37,1
beach boys,4,2
buddy holly,0,2
led zeppelin,3,0
stevie wonder,74,2
sam cooke,6,0
muddy waters,11,0
marvin gaye,12,1
bo diddley,2,0
otis redding,5,0
u2,46,7
bruce springsteen,50,0
jerry lee lewis,3,0
prince,38,0
the clash,1,1
the who,2,0
nirvana,6,0
johnny cash,35,0
smokey robinson & the miracles,1,0
everly brothers,4,4
neil young,27,0
michael jackson,38,7
madonna,28,13
roy orbison,9,3
john lennon,4,3
david bowie,19,5
simon & garfunkel,11,1
van morrison,7,0
public enemy,6,0
the byrds,0,1
janis joplin,2,0
patti smith,4,0
run,1,1
elton john,34,7
pink floyd,4,1
queen,4,6
the allman brothers band,8,0
howlin' wolf,3,0
eric clapton,37,0
dr. dre,26,0
aerosmith,14,0
metallica,18,0
joni mitchell,16,0
tina turner,25,0
phil spector,3,0
al green,21,0
cream,1,0
the temptations,9,0
jackie wilson,2,0
the police,8,5
frank zappa,9,0
ac/dc,7,0
radiohead,18,0
the eagles,18,0
beastie boys,10,0
the four tops,1,1
elvis costello,14,0
the drifters,1,0
creedence clearwater revival,0,1
eminem,44,9
james taylor,18,0
black sabbath,4,0
2pac,6,1
gram parsons,1,0
jay-z,77,4
santana,14,0
tom petty,18,0
guns n' roses,3,0
booker t & the mg's,4,0
nine inch nails,10,0
diana ross and the supremes,2,1
r.e.m.,13,0
curtis mayfield,8,0
carl perkins,2,0
talking heads,2,0
