artist_name,year,popularity,genre
britney spears,2000,77,pop
blink-182,1999,79,rock
faith hill,1999,66,pop
bon jovi,2000,78,rock
*nsync,2000,65,pop
sisqo,1999,69,pop
eminem,2000,86,hip-hop
robbie williams,2000,68,rock
destiny's child,1999,75,pop
modjo,2001,77,electronic
gigi d'agostino,2011,1,pop
eiffel 65,1999,56,pop
bomfunk mc's,2000,55,pop
sting,1999,62,rock
melanie c,1999,61,pop
aaliyah,2002,53,pop
anastacia,1999,64,pop
alice deejay,2000,73,pop
gigi d'agostino,1999,64,pop
dr. dre,1999,82,hip-hop
linkin park,2000,83,rock
tom jones,1999,65,rock
sonique,2000,62,pop
m.o.p.,2000,54,hip-hop
melanie c,1999,54,pop
limp bizkit,2000,72,metal
darude,2001,69,pop
da brat,2000,53,pop
moloko,2000,54,pop
chicane,2016,47,electronic
dmx,1999,71,pop
debelah morgan,2000,49,pop
madonna,2000,58,pop
ruff endz,2000,52,soul
britney spears,1999,58,pop
montell jordan,1999,59,pop
kylie minogue,2000,55,pop
jay-z,1999,69,hip-hop
leann rimes,2001,61,pop
avant,2000,55,pop
enrique iglesias,1999,54,pop
toni braxton,2000,66,pop
bow wow,2000,36,pop
dr. dre,1999,79,hip-hop
missy elliott,1998,49,pop
backstreet boys,1999,68,pop
samantha mumba,2018,43,pop
mýa,2000,59,pop
mary mary,2000,64,soul
next,2004,52,pop
janet jackson,2001,47,pop
ricky martin,2000,60,pop
jagged edge,2000,55,pop
sisqo,1999,60,pop
jay-z,2000,59,hip-hop
mariah carey,1999,59,pop
baha men,2000,65,soul
donell jones,1999,63,pop
leann rimes,2001,65,pop
oasis,2000,0,rock
dj ötzi,2010,58,pop
p!nk,2000,52,pop
mariah carey,2011,0,pop
craig david,2000,60,pop
christina aguilera,1999,61,pop
madonna,2000,58,pop
red hot chili peppers,1999,78,rock
sammie,2000,55,pop
craig david,2000,70,pop
santana,1999,66,rock
kandi,2000,55,pop
p!nk,2000,55,pop
vengaboys,2000,58,pop
ronan keating,2000,59,rock
madison avenue,1999,56,electronic
destiny's child,1999,70,pop
céline dion,1999,64,pop
3 doors down,2000,78,rock
carl thomas,2000,52,pop
mystikal,2000,57,pop
fuel,2000,49,rock
donell jones,1999,57,pop
savage garden,1999,54,pop
westlife,2000,68,pop
all saints,2000,62,pop
destiny's child,2001,65,pop
*nsync,2000,60,pop
erykah badu,2000,54,soul
marc anthony,1999,56,pop
matchbox twenty,2000,54,rock
gabrielle,2001,60,pop
backstreet boys,2000,70,pop
creed,1999,64,rock
the corrs,2000,68,pop
joe,2000,65,pop
pop,Pop,Pop,pop
christina aguilera,1999,64,pop
creed,1999,69,rock
britney spears,2000,65,pop
nelly,2000,68,pop
shaggy,2000,76,pop
destiny's child,2001,70,pop
eminem,2000,83,hip-hop
kylie minogue,2001,73,pop
christina aguilera,2001,68,pop
nelly furtado,2000,1,pop
shakira,2001,74,pop
jimmy eat world,2001,78,rock
train,2001,77,pop
geri halliwell,2001,62,pop
blu cantrell,2001,71,pop
