artist_name,genre,year,popularity
norah jones,Adult Standards,2004,71
deep purple,Rock,2000,39
gorillaz,Hip-Hop,2001,69
foo fighters,Metal,2007,76
bruce springsteen,Rock,2002,59
city to city,Rock,2004,45
maroon 5,Pop,2002,74
muse,Rock,2006,69
the killers,Rock,2004,77
eminem,Hip-Hop,2002,82
elvis presley,Adult Standards,2002,49
the white stripes,Rock,2003,74
de dijk,Rock,2000,34
ten years after,Rock,2005,26
arctic monkeys,Rock,2007,66
paul de leeuw,Dutch Cabaret,2006,48
coldplay,Rock,2005,69
alanis morissette,Rock,2005,57
john miles,Pop,2004,46
justin timberlake,Pop,2002,74
coldplay,Rock,2005,81
mumford & sons,Rock,2009,67
jan smit,Pop,2006,55
the killers,Rock,2004,69
bløf,Pop,2002,16
ilse delange,Dutch Americana,2008,50
editors,Alternative Dance,2007,56
eminem,Hip-Hop,2002,71
herbert grönemeyer,Pop,2008,48
youssou n'dour,Pop,2004,59
coldplay,Rock,2002,84
robert plant,Rock,2007,57
adele,Soul,2008,63
norah jones,Adult Standards,2002,74
amy winehouse,Soul,2006,72
sandy coast,Pop,2009,44
the goo goo dolls,Rock,2007,75
u2,Rock,2006,40
foo fighters,Metal,2002,72
guus meeuwis,Pop,2005,42
santa esmeralda,Funk,2003,59
tiësto,Electronic,2009,53
franz ferdinand,Rock,2004,74
green day,Rock,2004,78
linkin park,Metal,2003,65
robbie williams,Pop,2002,56
lou reed,Rock,2008,43
snow patrol,Rock,2004,65
barry white,Adult Standards,2009,67
saybia,Rock,2005,51
pearl jam,Rock,2009,69
bløf,Pop,2000,52
james blunt,Neo Mellow,2005,69
metallica,Metal,2008,52
christina aguilera,Pop,2006,67
elbow,Rock,2009,43
u2,Rock,2004,57
beyoncé,Pop,2006,44
backstreet boys,Pop,2001,77
golden earring,Rock,2008,38
rowwen hèze,Carnaval Limburg,2005,32
johnny cash,Country,2000,47
doe maar,Dutch Cabaret,2008,48
manu chao,Rock,2001,70
3 doors down,Metal,2000,77
seal,Soul,2004,63
p!nk,Pop,2001,56
status quo,Rock,2002,59
saybia,Rock,2004,55
stereophonics,Rock,2003,64
adele,Soul,2008,73
queens of the stone age,Metal,2002,65
peter sarstedt,Folk,2008,58
the dubliners,Celtic,2008,46
mumford & sons,Rock,2009,67
michael jackson,Pop,2003,55
jacques brel,Chanson,2004,58
volbeat,Metal,2007,57
marco borsato,Dutch Cabaret,2006,30
elbow,Rock,2009,45
spinvis,Rock,2002,45
twarres,Pop,2001,48
enya,Celtic,2000,70
blue,Pop,2004,58
the offspring,Metal,2005,72
bløf,Pop,2006,42
anouk,Rock,2007,42
claw boys claw,Rock,2007,43
david bowie,Rock,2002,43
foo fighters,Metal,2002,65
boudewijn de groot,Rock,2007,19
the proclaimers,Rock,2003,74
marco borsato,Dutch Cabaret,2006,49
bløf,Pop,2002,41
rowwen hèze,Carnaval Limburg,2008,32
green day,Rock,2009,75
mark ronson,Pop,2007,62
gé reinders,Carnaval Limburg,2005,38
marco borsato,Dutch Cabaret,2002,30
manic street preachers,Rock,2002,39
linkin park,Metal,2000,83
herbert grönemeyer,Pop,2008,44
anouk,Rock,2004,56
bruce springsteen,Rock,2003,40
veldhuis & kemper,Dutch Cabaret,2003,58
alicia keys,Pop,2009,75
jay-z,Hip-Hop,2004,75
armand,Rock,2009,47
kid rock,Metal,2007,72
jeff wayne,Pop,2007,41
john mayer,Neo Mellow,2006,74
keane,Rock,2004,54
the fray,Rock,2005,80
andre hazes,Pop,2002,59
eminem,Hip-Hop,2005,77
santana,Rock,2007,59
muse,Rock,2001,51
daft punk,Electronic,2001,71
kings of leon,Rock,2008,76
the temper trap,Alternative Dance,2009,64
beyoncé,Pop,2008,70
john farnham,Pop,2008,62
ios,Pop,2009,39
the bangles,Rock,2004,70
the temptations,Adult Standards,2001,44
beyoncé,Pop,2003,75
foo fighters,Metal,2005,75
john mayer,Neo Mellow,2003,68
bram vermeulen,Rock,2006,42
editors,Alternative Dance,2009,56
enigma,Electronic,2001,58
maarten van roozendaal,Rock,2001,36
amy winehouse,Soul,2006,67
marco borsato,Dutch Cabaret,2002,52
tenacious d,Metal,2001,59
amy winehouse,Soul,2006,74
coldplay,Rock,2005,63
pat benatar,Rock,2001,54
michael bublé,Adult Standards,2005,64
rammstein,Metal,2001,60
the black eyed peas,Pop,2009,69
the cult,Rock,2000,63
normaal,Rock,2008,42
ub40,Reggae,2000,74
elvis presley,Adult Standards,2002,64
racoon,Rock,2005,43
neil young,Rock,2004,44
de poema's,Pop,2003,54
the beatles,British Invasion,2000,75
santana,Rock,2007,62
snow patrol,Rock,2006,49
nightwish,Metal,2004,38
rufus wainwright,Pop,2007,38
doe maar,Dutch Cabaret,2008,44
fish,Rock,2008,44
coldplay,Rock,2002,64
john mayer,Neo Mellow,2009,66
mark knopfler,Rock,2005,39
counting crows,Rock,2004,59
the weather girls,Funk,2008,58
anouk,Rock,2004,52
billy joel,Rock,2001,46
mike oldfield,Rock,2009,64
ramses shaffy,Dutch Cabaret,2006,41
muse,Rock,2009,76
evanescence,Metal,2003,74
racoon,Rock,2005,41
michael bublé,Adult Standards,2007,73
plain white t's,Neo Mellow,2005,80
marco borsato,Dutch Cabaret,2002,50
yann tiersen,Pop,2001,56
krezip,Rock,2009,56
the script,Rock,2008,64
john mayer,Neo Mellow,2008,75
beyoncé,Pop,2008,78
de jeugd van tegenwoordig,Hip-Hop,2008,46
bløf,Pop,2000,40
within temptation,Metal,2003,47
golden earring,Rock,2008,50
neil young,Rock,2004,49
alain clark,Pop,2007,35
bill medley,Rock,2004,70
damien rice,Pop,2003,56
u2,Rock,2009,44
jamiroquai,Jazz,2006,69
doe maar,Dutch Cabaret,2008,49
queens of the stone age,Metal,2002,58
golden earrings,Rock,2008,26
muse,Rock,2001,53
gossip,Alternative Dance,2009,59
doe maar,Dutch Cabaret,2008,39
blondie,Pop,2006,52
eminem,Hip-Hop,2000,80
u2,Rock,2000,52
johan,Rock,2001,36
michel sardou,Chanson,2004,59
daniël lohues,Rock,2008,39
muse,Rock,2006,73
stereophonics,Rock,2005,68
sarah brightman,Pop,2006,59
coldplay,Rock,2002,63
delerium,Electronic,2004,58
acda en de munnik,Dutch Cabaret,2000,51
muse,Rock,2006,73
nick & simon,Pop,2007,59
doe maar,Dutch Cabaret,2008,49
golden earring,Rock,2008,34
tom petty and the heartbreakers,Rock,2008,72
normaal,Rock,2008,52
eddie vedder,Rock,2007,67
dido,Pop,2003,54
tavares,Adult Standards,2004,49
green day,Rock,2004,77
red hot chili peppers,Rock,2002,80
chris rea,Rock,2007,80
rammstein,Metal,2001,51
doe maar,Dutch Cabaret,2008,41
the scene,Rock,2007,47
bee gees,Adult Standards,2001,47
eminem,Hip-Hop,2000,75
christina aguilera,Pop,2002,71
john mayer,Neo Mellow,2006,75
beth hart,Rock,2009,32
kayak,Rock,2009,32
foo fighters,Metal,2009,69
3 doors down,Metal,2002,75
mary j. blige,Pop,2005,61
de poema's,Pop,2003,45
gary jules,Neo Mellow,2002,70
doe maar,Dutch Cabaret,2008,53
michael bublé,Adult Standards,2005,64
10cc,Rock,2004,46
blur,Rock,2000,64
krezip,Rock,2000,55
billy joel,Rock,2001,70
owl city,Pop,2009,79
anouk,Rock,2004,51
wolfmother,Rock,2006,62
the black eyed peas,Pop,2003,66
