popular_albuns_rank,artist_band,reference_year,musical_genre,total_awards_nominations,uk number 1's,million_sales
1,radiohead,1997,rock,18,0,0
3,pink floyd,1973,rock,4,1,250
4,my bloody valentine,1991,rock,0,0,0
5,kanye west,2010,pop,0,0,160
8,neutral milk hotel,1998,rock,0,0,0
10,kendrick lamar,2015,jazz,0,0,0
11,the velvet underground & nico,1967,rock,0,0,0
12,king crimson,1969,rock,0,0,0
13,the beatles,1969,rock,29,17,600
15,nirvana,1991,rock,6,0,75
18,david bowie,1972,rock,19,5,100
19,joy division,1979,rock,0,0,0
22,death grips,2012,hip-hop,0,0,0
23,madvillain,2004,hip-hop,0,0,0
24,arcade fire,2004,rock,0,0,0
26,talking heads,1980,rock,2,0,0
29,the beach boys,1966,pop,0,0,100
30,black sabbath,1970,rock,4,0,0
32,the smiths,1986,pop,0,0,0
33,godspeed you black emperor!,2000,rock,0,0,0
34,led zeppelin,1971,rock,3,0,300
35,"tyler, the creator",2019,soul_funk,0,0,0
36,pixies,1989,rock,0,0,0
40,slint,1991,rock,0,0,0
43,the strokes,2001,rock,0,0,0
45,nas,1994,hip-hop,0,0,0
46,frank ocean,2016,pop,0,0,0
49,the doors,1967,rock,0,0,100
50,metallica,1986,metal,18,0,125
51,kids see ghosts,2018,rock,0,0,0
53,miles davis,1959,jazz,0,0,0
54,nick drake,1972,folk,0,0,0
56,the cure,1989,rock,0,0,0
58,weezer,1994,rock,0,0,0
59,slowdive,1993,rock,0,0,0
63,aphex twin,1992,electronic,0,0,0
64,the clash,1979,rock,1,1,0
66,björk,1997,pop,0,0,0
68,sonic youth,1988,rock,0,0,0
69,wu-tang clan,1993,hip-hop,0,0,0
73,animal collective,2009,rock,0,0,0
76,sufjan stevens,2005,pop,0,0,0
77,dj shadow,1996,hip-hop,0,0,0
79,daft punk,2001,electronic,0,0,0
80,interpol,2002,rock,0,0,0
81,sigur rós,1999,rock,0,0,0
82,gorillaz,2005,pop,0,0,0
83,danny brown,2016,hip-hop,0,0,0
84,bob dylan,1965,rock,38,1,100
87,television,1977,rock,0,0,0
88,john coltrane,1965,jazz,0,0,0
91,the microphones,2001,rock,0,0,0
92,a tribe called quest,1991,jazz,0,0,0
94,the velvet underground,1968,rock,0,0,0
102,have a nice life,2008,rock,0,0,0
103,kate bush,1985,pop,0,0,0
104,cocteau twins,1990,pop,0,0,0
105,the jimi hendrix experience,1967,rock,0,0,0
106,nine inch nails,1994,rock,10,0,0
108,elliott smith,1997,folk,0,0,0
109,queens of the stone age,2002,rock,0,0,0
111,smashing pumpkins,1993,rock,0,0,0
112,boards of canada,1998,electronic,0,0,0
116,rage against the machine,1992,metal,0,0,0
117,fishmans,1996,rock,0,0,0
122,can,1971,rock,0,0,0
123,yes,1972,rock,0,0,0
126,tool,2001,metal,0,0,0
129,earl sweatshirt,2018,hip-hop,0,0,0
130,jeff buckley,1994,rock,0,0,0
131,burial,2007,electronic,0,0,0
132,wilco,2002,rock,0,0,0
136,mf doom,2004,hip-hop,0,0,0
137,fleetwood mac,1977,rock,0,0,120
138,american football,1999,rock,0,0,0
141,swans,2014,rock,0,0,0
142,arctic monkeys,2006,rock,0,0,0
143,mingus,1963,jazz,0,0,0
144,system of a down,2001,metal,0,0,0
147,tame impala,2015,rock,0,0,0
150,daughters,2018,rock,0,0,0
155,pearl jam,1991,rock,0,0,0
157,the flaming lips,2002,rock,0,0,0
159,jpegmafia,2018,hip-hop,0,0,0
162,j dilla,2006,hip-hop,0,0,0
166,the smashing pumpkins,1995,rock,0,0,0
167,pusha t,2018,hip-hop,0,0,0
168,depeche mode,1990,electronic,0,0,0
170,frank zappa,1969,rock,9,0,0
171,weyes blood,2019,pop,0,0,0
173,tom waits,1985,rock,0,0,0
174,marvin gaye,1971,soul_funk,12,1,0
176,slayer,1986,metal,0,0,0
180,car seat headrest,2018,rock,0,0,0
181,michael jackson,1982,pop,38,7,400
183,"black country, new road",2021,rock,0,0,0
184,talk talk,1991,rock,0,0,0
185,lcd soundsystem,2007,rock,0,0,0
186,beach house,2010,pop,0,0,0
189,the who,1971,rock,2,0,0
191,brockhampton,2017,pop,0,0,0
192,denzel curry,2018,hip-hop,0,0,0
193,eno,1975,rock,0,0,0
195,neil young,1970,rock,27,0,0
197,alice in chains,1992,rock,0,0,0
198,playboi carti,2018,hip-hop,0,0,0
200,megadeth,1990,metal,0,0,0
201,fiona apple,2020,pop,0,0,0
202,mgmt,2018,rock,0,0,0
203,love,1967,rock,0,0,0
204,jay-z & kanye west,2011,pop,0,0,0
205,belle and sebastian,1996,pop,0,0,0
206,flying lotus,2010,electronic,0,0,0
207,oasis,1995,rock,0,0,0
208,freddie gibbs & madlib,2014,hip-hop,0,0,0
212,pavement,1994,rock,0,0,0
214,the stooges,1970,rock,0,0,0
216,charli xcx,2020,electronic,0,0,0
218,lou reed,1972,rock,0,0,0
219,genius/gza,1995,hip-hop,0,0,0
220,sweet trip,2003,rock,0,0,0
221,modest mouse,1997,rock,0,0,0
222,iron maiden,1982,metal,0,0,0
225,the stone roses,1989,rock,0,0,0
226,bon iver,2007,folk,0,0,0
228,deafheaven,2013,metal,0,0,0
229,fleet foxes,2008,folk,0,0,0
230,leonard cohen,1967,folk,0,0,0
232,prince and the revolution,1984,rock,0,0,0
233,eminem,2000,hip-hop,44,9,220
234,the white stripes,2003,rock,0,0,0
237,new order,1983,rock,0,0,0
238,travis scott,2015,hip-hop,0,0,0
247,run the jewels,2014,hip-hop,0,0,0
248,black midi,2019,rock,0,0,0
249,burzum,1996,metal,0,0,0
250,portishead,2008,rock,0,0,0
251,sophie,2018,electronic,0,0,0
253,outkast,1998,hip-hop,0,0,0
254,joanna newsom,2006,folk,0,0,0
255,the rolling stones,1971,rock,14,8,200
258,guns n' roses,1987,rock,3,0,100
259,deftones,2000,metal,0,0,0
261,wire,1977,rock,0,0,0
266,spiritualized®,1997,rock,0,0,0
270,the mars volta,2003,rock,0,0,0
271,green day,2004,rock,0,0,75
272,coldplay,2000,rock,0,0,100
273,captain beefheart & his magic band,1969,rock,0,0,0
274,at the drive-in,2000,rock,0,0,0
275,sex pistols,1977,rock,0,0,0
278,r.e.m.,1992,rock,13,0,85
280,kraftwerk,1978,electronic,0,0,0
281,queen,1975,rock,4,6,300
283,red hot chili peppers,1999,rock,0,0,120
286,the weeknd,2020,soul_funk,0,0,75
287,ac/dc,1980,rock,7,0,200
289,the zombies,1968,pop,0,0,0
291,lana del rey,2019,pop,0,0,0
295,lorde,2017,pop,0,0,0
297,joni mitchell,1971,folk,16,0,0
298,dinosaur,1987,rock,0,0,0
301,the jesus and mary chain,1985,rock,0,0,0
303,iggy and the stooges,1973,rock,0,0,0
305,the notorious b.i.g.,1994,hip-hop,0,0,0
306,billie eilish,2019,pop,0,0,0
308,air,1998,pop,0,0,0
310,dead kennedys,1980,rock,0,0,0
312,genesis,1973,rock,0,0,100
314,opeth,2001,metal,0,0,0
316,brian eno,1978,electronic,0,0,0
317,rush,1981,rock,0,0,0
321,grimes,2015,electronic,0,0,0
322,muse,2001,rock,0,0,0
326,gang of four,1979,rock,0,0,0
327,beck,1996,rock,0,0,0
332,brand new,2006,rock,0,0,0
333,beastie boys,1989,hip-hop,10,0,0
340,u2,1987,rock,46,7,150
342,fka twigs,2019,pop,0,0,0
343,phoebe bridgers,2020,folk,0,0,0
345,death,1995,metal,0,0,0
346,linkin park,2000,rock,0,0,100
348,godspeed you! black emperor,2002,rock,0,0,0
349,carly rae jepsen,2015,pop,0,0,0
352,van morrison,1968,folk,7,0,0
353,mount eerie,2017,folk,0,0,0
356,electric wizard,2000,metal,0,0,0
357,converge,2001,metal,0,0,0
360,soundgarden,1994,rock,0,0,0
363,little simz,2021,hip-hop,0,0,0
365,funkadelic,1971,rock,0,0,0
366,kero kero bonito,2018,pop,0,0,0
367,panda bear,2007,rock,0,0,0
368,patti smith,1975,rock,4,0,0
370,my chemical romance,2006,rock,0,0,0
372,ramones,1976,rock,0,0,0
376,vampire weekend,2008,rock,0,0,0
377,fugazi,1990,rock,0,0,0
379,the national,2007,rock,0,0,0
380,duster,1998,rock,0,0,0
384,yo la tengo,1997,rock,0,0,0
388,mac demarco,2014,pop,0,0,0
393,violent femmes,1983,rock,0,0,0
394,kyuss,1994,rock,0,0,0
397,bruce springsteen,1975,rock,50,0,150
398,deerhunter,2010,rock,0,0,0
400,blur,1994,rock,0,0,0
401,suicide,1977,rock,0,0,0
402,built to spill,1997,rock,0,0,0
403,vince staples,2017,hip-hop,0,0,0
406,injury reserve,2021,hip-hop,0,0,0
412,avey tare and panda bearavey tarepanda bear,2000,rock,0,0,0
413,against all logic,2018,electronic,0,0,0
417,franz ferdinand,2004,rock,0,0,0
418,king gizzard and the lizard wizard,2016,rock,0,0,0
420,childish gambino,2016,soul_funk,0,0,0
425,stevie wonder,1976,soul_funk,74,2,100
426,oneohtrix point never,2011,electronic,0,0,0
428,ride,1990,rock,0,0,0
429,neil young with crazy horseneil youngcrazy horse,1969,rock,0,0,0
430,ween,1997,rock,0,0,0
435,jethro tull,1971,rock,0,0,0
438,the antlers,2009,rock,0,0,0
