popular_albuns_rank,artist_band,decade,musical_genre,total_awards_nominations,uk number 1's,million_sales
1,radiohead,90's,rock,18,0,0
3,pink floyd,70's,rock,4,1,250
4,my bloody valentine,90's,rock,0,0,0
5,kanye west,10's,pop,0,0,160
8,neutral milk hotel,90's,rock,0,0,0
10,kendrick lamar,10's,jazz,0,0,0
11,the velvet underground & nico,60's,rock,0,0,0
12,king crimson,60's,rock,0,0,0
13,the beatles,60's,rock,29,17,600
15,nirvana,90's,rock,6,0,75
18,david bowie,70's,rock,19,5,100
19,joy division,70's,rock,0,0,0
22,death grips,10's,hip-hop,0,0,0
23,madvillain,00's,hip-hop,0,0,0
24,arcade fire,00's,rock,0,0,0
26,talking heads,80's,rock,2,0,0
29,the beach boys,60's,pop,0,0,100
30,black sabbath,70's,rock,4,0,0
32,the smiths,80's,pop,0,0,0
33,godspeed you black emperor!,00's,rock,0,0,0
34,led zeppelin,70's,rock,3,0,300
35,"tyler, the creator",10's,soul_funk,0,0,0
36,pixies,80's,rock,0,0,0
40,slint,90's,rock,0,0,0
43,the strokes,00's,rock,0,0,0
45,nas,90's,hip-hop,0,0,0
46,frank ocean,10's,pop,0,0,0
49,the doors,60's,rock,0,0,100
50,metallica,80's,metal,18,0,125
51,kids see ghosts,10's,rock,0,0,0
53,miles davis,50's,jazz,0,0,0
54,nick drake,70's,folk,0,0,0
56,the cure,80's,rock,0,0,0
58,weezer,90's,rock,0,0,0
59,slowdive,90's,rock,0,0,0
63,aphex twin,90's,electronic,0,0,0
64,the clash,70's,rock,1,1,0
66,björk,90's,pop,0,0,0
68,sonic youth,80's,rock,0,0,0
69,wu-tang clan,90's,hip-hop,0,0,0
73,animal collective,00's,rock,0,0,0
76,sufjan stevens,00's,pop,0,0,0
77,dj shadow,90's,hip-hop,0,0,0
79,daft punk,00's,electronic,0,0,0
80,interpol,00's,rock,0,0,0
81,sigur rós,90's,rock,0,0,0
82,gorillaz,00's,pop,0,0,0
83,danny brown,10's,hip-hop,0,0,0
84,bob dylan,60's,rock,38,1,100
87,television,70's,rock,0,0,0
88,john coltrane,60's,jazz,0,0,0
91,the microphones,00's,rock,0,0,0
92,a tribe called quest,90's,jazz,0,0,0
94,the velvet underground,60's,rock,0,0,0
102,have a nice life,00's,rock,0,0,0
103,kate bush,80's,pop,0,0,0
104,cocteau twins,90's,pop,0,0,0
105,the jimi hendrix experience,60's,rock,0,0,0
106,nine inch nails,90's,rock,10,0,0
108,elliott smith,90's,folk,0,0,0
109,queens of the stone age,00's,rock,0,0,0
111,smashing pumpkins,90's,rock,0,0,0
112,boards of canada,90's,electronic,0,0,0
116,rage against the machine,90's,metal,0,0,0
117,fishmans,90's,rock,0,0,0
122,can,70's,rock,0,0,0
123,yes,70's,rock,0,0,0
126,tool,00's,metal,0,0,0
129,earl sweatshirt,10's,hip-hop,0,0,0
130,jeff buckley,90's,rock,0,0,0
131,burial,00's,electronic,0,0,0
132,wilco,00's,rock,0,0,0
136,mf doom,00's,hip-hop,0,0,0
137,fleetwood mac,70's,rock,0,0,120
138,american football,90's,rock,0,0,0
141,swans,10's,rock,0,0,0
142,arctic monkeys,00's,rock,0,0,0
143,mingus,60's,jazz,0,0,0
144,system of a down,00's,metal,0,0,0
147,tame impala,10's,rock,0,0,0
150,daughters,10's,rock,0,0,0
155,pearl jam,90's,rock,0,0,0
157,the flaming lips,00's,rock,0,0,0
159,jpegmafia,10's,hip-hop,0,0,0
162,j dilla,00's,hip-hop,0,0,0
166,the smashing pumpkins,90's,rock,0,0,0
167,pusha t,10's,hip-hop,0,0,0
168,depeche mode,90's,electronic,0,0,0
170,frank zappa,60's,rock,9,0,0
171,weyes blood,10's,pop,0,0,0
173,tom waits,80's,rock,0,0,0
174,marvin gaye,70's,soul_funk,12,1,0
176,slayer,80's,metal,0,0,0
180,car seat headrest,10's,rock,0,0,0
181,michael jackson,80's,pop,38,7,400
183,"black country, new road",10's,rock,0,0,0
184,talk talk,90's,rock,0,0,0
